Accession,Strain_name,Year,Subtype,Host,Country,clade_global_phylogeny,general comments,tool_classification,"tool_mismatch (0=match, 999=noMatch)",clade_1A_MLsubset,match_1A_ML,clade_1B_MLsubset,match_1B_ML,clade_1C_MLsubset,match_1C_ML,clade_1A_MBsubset,match_1A_MB,clade_1B_MBsubset,match_1B_MB,clade_1C_MBsubset,match_1C_MB
CY194277,A/swine/Manitoba/D0171/2012,2012,H1N2,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194285,A/swine/Manitoba/D0172/2012,2012,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194309,A/swine/Manitoba/D0173/2012,2012,H1N2,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194365,A/swine/Manitoba/D0175/2012,2012,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194373,A/swine/Manitoba/D0365/2012,2012,H1N2,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194381,A/swine/Manitoba/D0104/2012,2012,H1N2,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194589,A/swine/Saskatchewan/SD0002/2013,2013,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194597,A/swine/Manitoba/D0226/2013,2013,H1N2,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194605,A/swine/Arkansas/D0386/2013,2013,H1N1,Swine,USA,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY194765,A/swine/Manitoba/D0265/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194781,A/swine/Manitoba/D0267/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194789,A/swine/Manitoba/D0268/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194805,A/swine/Manitoba/D0270/2013,2013,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194829,A/swine/Manitoba/D0272/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194837,A/swine/Manitoba/D0273/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194845,A/swine/Manitoba/D0274/2013,2013,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194853,A/swine/Manitoba/D0275/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194861,A/swine/Manitoba/D0276/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194869,A/swine/Manitoba/D0277/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194885,A/swine/Manitoba/D0279/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194909,A/swine/Manitoba/D0282/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194933,A/swine/Manitoba/D0285/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194941,A/swine/Manitoba/D0286/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194966,A/swine/Manitoba/D0289/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194974,A/swine/Manitoba/D0290/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY194998,A/swine/Manitoba/D0293/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195006,A/swine/Manitoba/D0294/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195014,A/swine/Manitoba/D0295/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195046,A/swine/Manitoba/D0298/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195062,A/swine/Manitoba/D0301/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195070,A/swine/Manitoba/D0302/2013,2013,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195078,A/swine/Alberta/SD0014/2013,2013,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195102,A/swine/Manitoba/D0303/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195110,A/swine/Saskatchewan/SD0017/2013,2013,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195118,A/swine/Saskatchewan/SD0020/2013,2013,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195126,A/swine/Manitoba/D0316/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195134,A/swine/Manitoba/D0317/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195142,A/swine/Manitoba/D0319/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195167,A/swine/Manitoba/D0322/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195175,A/swine/Manitoba/D0324/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195199,A/swine/Manitoba/D0328/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195207,A/swine/Saskatchewan/SD0033/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195215,A/swine/Manitoba/D0336/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195223,A/swine/Manitoba/D0337/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195231,A/swine/Manitoba/D0338/2014,2014,H1N2,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195239,A/swine/Manitoba/D0339/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195255,A/swine/Manitoba/D0341/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195263,A/swine/Manitoba/D0342/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195271,A/swine/Saskatchewan/SD0037/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195279,A/swine/Manitoba/D0345/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195287,A/swine/Manitoba/D0347/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195295,A/swine/Manitoba/D0348/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195319,A/swine/Manitoba/D0351/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195335,A/swine/Alberta/SD0040/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195359,A/swine/Alberta/SD0042/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195375,A/swine/Manitoba/D0357/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195383,A/swine/Manitoba/D0358/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195407,A/swine/Manitoba/D0359/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195423,A/swine/Manitoba/D0362/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195431,A/swine/Saskatchewan/SD0053/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195439,A/swine/Saskatchewan/SD0052/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195455,A/swine/Saskatchewan/SD0056/2014,2014,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195471,A/swine/Alberta/SD0061/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195479,A/swine/Saskatchewan/SD0064/2014,2014,H1N1,Swine,Canada,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
CY195495,A/swine/Manitoba/D0369/2015,2015,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195511,A/swine/Manitoba/D0372/2015,2015,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195527,A/swine/Manitoba/D0374/2015,2015,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195543,A/swine/Manitoba/D0377/2015,2015,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195551,A/swine/Manitoba/D0378/2015,2015,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
CY195591,A/swine/Manitoba/D0361/2014,2014,H1N2,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
D00837,A/swine/Cambridge/1939,1939,H1N1,Swine,United_Kingdom,Other-Human,human-to-swine-Sw1B-like,Other-Human,0,,,,,,,,,,,,
D10477,A/mallard/Alberta/35/1976,1976,H1N1,Mallard,Canada,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
D13573,A/Suita/1/1989,1989,H1N1,Human,Japan,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,,,,
D13574,A/Suita/1/89/,2000,H1N1,Human,Japan,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
D28518,A/sw/Obihiro/5/1992,1992,H1N1,Swine,Japan,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,1B.2,match,,,,,,,,
D29656,A/swine/Nagasaki/1/1989,1989,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
D29657,A/swine/Nagasaki/1/1990,1990,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
DQ058215,A/swine/Guangdong/2/01,2001,H1N1,Swine,China,1A.1,,1A.1,0,,,,,,,,,,,,
DQ139320,A/Swine/Zhejiang/1/2004,2004,H1N2,Swine,China,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
DQ280195,A/swine/Ontario/57561/03,2003,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
DQ280203,A/swine/Alberta/56626/03,2003,H1N1,Swine,Canada,1A.1.1,tool mismatch,1A.1-like,999,,,,,,,,,,,,
DQ280212,A/swine/Ontario/55383/04,2004,H1N2,Swine,Canada,1B.2.2,,1B.2.2,0,,,,,,,,,,,,
DQ280219,A/swine/Ontario/53518/03,2003,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,,,,,,,,,,,,
DQ280227,A/swine/Ontario/52156/03,2003,H1N2,Swine,Canada,1B.2.2,,1B.2.2,0,,,,,,,,,,,,
DQ280236,A/swine/Ontario/48235/04,2004,H1N2,Swine,Canada,1B.2.2,,1B.2.2,0,,,1B.2.2,match,,,,,1B.2.2,match,,
DQ280243,A/swine/Ontario/23866/04,2004,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
DQ280250,A/swine/Ontario/11112/04,2004,H1N1,Swine,Canada,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,1A.1.1,match,,,,
DQ415316,A/TW/130/96,1996,H1N1,Human,Taiwan,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
DQ431990,A/Swine/Taiwan/CO935/2004,2004,H1N2,Swine,Taiwan,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,,,,,,
DQ447187,A/Swine/Taiwan/CO935/2004,2004,H1N2,Swine,Taiwan,1A.1.1,,1A.1.1,0,1A.1.1,match,,,,,1A.1.1,match,,,,
DQ508857,A/New_Caledonia/20/1999,1999,H1N1,Human,New_Caledonia,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
DQ508897,A/USSR/90/1977,1977,H1N1,Human,Russia,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
DQ649410,A/Fort_Monmouth/1/1947,1947,H1N1,Human,USA,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
DQ666925,A/Swine/Korea/S5/2005,2005,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
DQ666933,A/Swine/Korea/S11/2005,2005,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
DQ666941,A/Swine/Korea/S14/2006,2006,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EF101741,A/Philippines/344/2004,2004,H1N2,Human,Philippines,1A.1,swine-to-human,1A.1-like,999,,,,,,,,,,,,
EF467821,A/Puerto_Rico/8/34,1934,H1N1,Human,Puerto_Rico,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
EF556199,A/swine/Guangxi/13/2006,2006,H1N2,Swine,China,1A.3.3.1,,1A.3.3.1,0,1A.3.3.1,match,,,,,1A.3.3.1,match,,,,
EF556201,A/swine/Guangxi/17/2005,2005,H1N2,Swine,China,1A.3.3.1,,1A.3.3.1,0,1A.3.3.1,match,,,,,1A.3.3.1,match,,,,
EF556203,A/swine/Hainan/1/2005,2005,H1N2,Swine,China,1A.1.3,,1A.1.3,0,,,,,,,,,,,,
EF568930,A/Thailand/Siriraj_07/2000,2000,H1N1,Human,Thailand,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU004444,A/swine/Tianjin/01/2004,2004,H1N1,Swine,China,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU004452,A/swine/Henan/01/2006,2006,H1N1,Swine,China,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU026014,A/mallard/Maryland/161/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026022,A/mallard/Maryland/163/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026029,A/mallard/Maryland/168/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026037,A/mallard/Maryland/170/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026058,A/mallard/Maryland/369/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026082,A/mallard/Maryland/403/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026090,A/mallard/Maryland/406/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026102,A/duck/NY/13152_13/1994,1994,H1N1,Duck,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU026110,A/duck/NJ/7717_70/1995,1995,H1N1,Duck,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU053133,A/swine/Doetlingen/IDT4735/2005,2005,H1N2,Swine,Germany,1B.1.2.1,,1B.1.2.1,0,,,1B.1.2.1,match,,,,,1B.1.2.1,match,,
EU053141,A/swine/Cloppenburg/IDT4777/2005,2005,H1N2,Swine,Germany,1B.1.2.1,,1B.1.2.1,0,,,1B.1.2.1,match,,,,,1B.1.2.1,match,,
EU053148,A/swine/Bakum/1832/2000,2000,H1N2,Swine,Germany,1B.1.2.1,,1B.1.2.1,0,,,1B.1.2.1,match,,,,,1B.1.2.1,match,,
EU097934,A/Denmark/3/2001,2001,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU097936,A/Denmark/11/2001,2001,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU097942,A/Denmark/40/2000,2000,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU097945,A/Denmark/11/2005,2005,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU097946,A/Denmark/54/2005,2005,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU097947,A/Denmark/226/2005,2005,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU097950,A/Denmark/3/2005,2005,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU097951,A/Denmark/22/2005,2005,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU097953,A/Denmark/15/2004,2004,H1N1,Human,Denmark,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU097959,A/Denmark/86/2003,2003,H1N2,Human,Denmark,1B.2.2,,1B.2.2,0,,,,,,,,,,,,
EU097962,A/Denmark/50/2003,2003,H1N2,Human,Denmark,1B.2.2,,1B.2.2,0,,,human,match,,,,,human,match,,
EU100706,A/Iowa/02/2006,2006,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU139823,A/swine/Iowa/15/1930,1930,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
EU139824,A/swine/Iowa/1945,1945,H1N1,Swine,USA,1A.1,,1A.1,0,,,,,,,,,,,,
EU139825,A/swine/Wisconsin/1/1968,1968,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
EU139826,A/swine/Iowa/1973,1973,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
EU139827,A/swine/Minnesota/37866/1999,1999,H1N1,Swine,USA,1A.2,tool mismatch,1A.2-3-like,999,1A.3,no,,,,,,,,,,
EU139828,A/swine/Minnesota/1192/2001,2001,H1N2,Swine,USA,1A.3.3,tool mismatch,1A.3.3-like,999,,,,,,,,,,,,
EU139829,A/swine/North_Carolina/36883/2002,2002,H1N1,Swine,USA,1A.2,,1A.2,0,,,,,,,,,,,,
EU139831,A/swine/Kansas/00246/2004,2004,H1N2,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU139832,A/swine/Iowa/00239/2004,2004,H1N1,Swine,USA,1A.2,,1A.2,0,1A.2,match,,,,,1A.2,match,,,,
EU163946,A/swine/Haseluenne/IDT2617/03,2003,H1N1,Swine,Germany,1C.2.2,,1C.2.2,0,,,,,1C.2.2,match,,,,,1C.2.2,match
EU163947,A/swine/IDT/Re230/92hp,1992,H1N1,Swine,Germany,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
EU182325,A/mallard/Maryland/02_358/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU199309,A/Wisconsin/49/2006,2006,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU234507,A/swine/Italy/125746/2005,2005,H1N1,Swine,Italy,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
EU296599,A/swine/Chonburi/NIAH589/2005,2005,H1N1,Swine,Thailand,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
EU296601,A/swine/Chachoengsao/NIAH587/2005,2005,H1N1,Swine,Thailand,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
EU296603,A/swine/Chonburi/05CB1/2005,2005,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
EU296605,A/swine/Chonburi/06CB2/2006,2006,H1N1,Swine,Thailand,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
EU296607,A/swine/Saraburi/NIAH13021/2005,2005,H1N2,Swine,Thailand,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
EU409948,A/swine/Ohio/24366/2007,2007,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU409955,A/swine/Ohio/75004/2004,2004,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU409960,A/swine/Ohio/C62006/2006,2006,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
EU502884,A/swine/Shanghai/1/2005,2005,H1N1,Swine,China,1A.1,,1A.1,0,,,,,,,,,,,,
EU516059,A/Hawaii/16/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU516082,A/Hawaii/35/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU516255,A/Texas/74/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU516257,A/Illinois/10/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU566989,A/New_Mexico/01/2008,2008,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU604689,A/swine/OH/511445/2007,2007,H1N1,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
EU716571,A/Idaho/02/2008,2008,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU716572,A/California/26/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU735786,A/turkey/NC/19762/1988,1988,H1N1,Turkey,USA,1A.1,swine-to-avian,1A.1,0,,,,,,,,,,,,
EU735794,A/chicken/PA/35154/1991,1991,H1N1,Chicken,USA,1A.1,,1A.1,0,,,,,,,,,,,,
EU735802,A/quail/IN/38685/1993,1993,H1N1,Quail,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU742636,A/turkey/Kansas/4880/1980,1980,H1N1,Turkey,USA,1A.1,swine-to-avian,1A.1,0,,,,,,,,,,,,
EU743143,A/turkey/MO/21939/1987,1987,H1N1,Turkey,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU743159,A/turkey/IA/21089_3/1992,1992,H1N1,Turkey,USA,1A.1,swine-to-avian,1A.1,0,,,,,,,,,,,,
EU743167,A/turkey/SD/7034/1986,1986,H1N1,Turkey,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU743306,A/blue_winged_teal/LA/B228/1986,1986,H1N1,Blue_Winged_Teal,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU743568,A/mallard/MD/02_181/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU743576,A/mallard/MD/02_184/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU743584,A/mallard/MD/02_359/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU743592,A/mallard/MD/02_375/2002,2002,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
EU779634,A/Illinois/06/2008,2008,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU798778,A/swine/Korea/CAN01/2004,2004,H1N1,Swine,South_Korea,1A.2,,1A.2,0,,,,,,,,,,,,
EU798779,A/swine/Korea/CAS08/2005,2005,H1N1,Swine,South_Korea,1A.2,,1A.2,0,,,,,,,,,,,,
EU798780,A/swine/Korea/Hongsong2/2004,2004,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU798781,A/swine/Korea/JL01/2005,2005,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU798782,A/swine/Korea/JL02/2005,2005,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
EU798783,A/swine/Korea/JL04/2005,2005,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
EU798784,A/swine/Korea/Asan04/2006,2006,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU798785,A/swine/Korea/PZ4/2006,2006,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU798787,A/swine/Korea/PZ14/2006,2006,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,1A.3.3.3,match,,,,
EU798788,A/swine/Korea/CY08/2007,2007,H1N2,Swine,South_Korea,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
EU851981,A/Hawaii/02/2008,2008,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU851990,A/Vermont/01/2008,2008,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
EU887023,A/Florida/15/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU887024,A/Pennsylvania/14/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
EU980516,A/mallard/MD/199/2003,2003,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
FJ179359,A/Arizona/14/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
FJ179360,A/Pennsylvania/13/2007,2007,H1N1,Human,USA,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
FJ231765,A/Hamburg/1/2005,2005,H1N1,Human,Germany,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
FJ231770,A/Niedersachsen/217/2005,2005,H1N1,Human,Germany,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
